EntityIdx,SiteLocation
Site-1,POINT(-1942.39798523 1819.25704205492)
Site-2,POINT(-1509.74449874375 861.602140770138)
Site-3,POINT(-1433.68180835596 1458.62491981251)
Site-4,POINT(643.094629045939 2274.96368553021)
Site-5,POINT(-1516.73141786382 2118.38302398887)
Site-6,POINT(-1732.67408678615 708.259484709413)
Site-7,POINT(57.0410904786683 637.877597192334)
Site-8,POINT(403.401228311222 851.500058157324)
Site-9,POINT(-1230.46350151207 869.45608788015)
Site-10,POINT(-1529.56747076438 1081.3109859039)
Site-11,POINT(787.399219998321 489.23517044752)
Site-12,POINT(1111.29122911512 463.867984892812)
Site-13,POINT(32.477250244302 1091.69312177147)
Site-14,POINT(-799.130758061242 1163.98053888136)
Site-15,POINT(-1507.46519313538 1964.46098561971)
Site-16,POINT(749.930417304538 1344.54442689145)
Site-17,POINT(-1351.13533003444 2166.10872702968)
Site-18,POINT(-900.628085676089 1863.9227972419)
Site-19,POINT(-957.708465013912 1606.55680208267)
Site-20,POINT(656.955269130131 350.305757393045)
Site-21,POINT(-1328.86880356934 1865.67982875346)
Site-22,POINT(156.173931100164 1165.47302697075)
Site-23,POINT(45.6612351754536 50.5609882532774)
Site-24,POINT(14.9530340843393 3069.65264786068)
Site-25,POINT(-1159.29076563154 1909.49287423439)
Site-26,POINT(1118.5791423463 1124.03118667305)
Site-27,POINT(-151.964995475927 2762.03067224016)
Site-28,POINT(855.356990018249 1457.03775078775)
Site-29,POINT(322.787558749154 2083.6510847807)
Site-30,POINT(-1418.31071514034 1564.24089990082)
Site-31,POINT(-754.120129722736 1616.25868450906)
Site-32,POINT(685.526322641321 1150.10461463704)
Site-33,POINT(-1421.58319939554 1680.83292695459)
Site-34,POINT(-579.952309136095 1475.85742067204)
Site-35,POINT(-1405.49054577004 896.426211429979)
Site-36,POINT(-466.591503190868 2848.89692996057)
Site-37,POINT(588.65137945225 378.10564376794)
Site-38,POINT(-1410.15545365931 1702.21640572264)
Site-39,POINT(-1502.15929592676 2072.27283587912)
Site-40,POINT(-117.21143969603 2579.17179123124)
Site-41,POINT(912.047695478704 482.937290652033)
Site-42,POINT(129.175403392742 2408.04048706456)
Site-43,POINT(-1603.99280908534 2077.95833415314)
Site-44,POINT(116.630880697733 1128.46518282294)
Site-45,POINT(-1497.2089164514 1858.69216859575)
Site-46,POINT(30.7289295245066 21.4978967526186)
Site-47,POINT(942.073824316299 647.793912326744)
Site-48,POINT(-46.4929918261599 1621.0787728092)
Site-49,POINT(-1399.4362398382 1949.15088360888)
Site-50,POINT(-1812.93074215248 845.154708741231)
Site-51,POINT(-1600.89348966298 968.594462919698)
Site-52,POINT(-598.755130379402 1443.62686286831)
Site-53,POINT(-35.927349734198 936.602738476276)
Site-54,POINT(767.46341609356 1328.81373862286)
Site-55,POINT(-1172.61835615574 1871.82497452876)
Site-56,POINT(-598.755130379402 1508.08797847578)
Site-57,POINT(276.211336619448 2005.52805997091)
Site-58,POINT(-809.639953866823 1616.25868450906)
Site-59,POINT(3.69801305824 453.316063349956)
Site-60,POINT(-660.744512561652 2905.38421642456)
Site-61,POINT(-828.757967271405 2996.50302536173)
Site-62,POINT(-1421.58319939554 1680.83292695459)
Site-63,POINT(-1499.2600324702 1769.90328098186)
Site-64,POINT(228.566505288984 927.721285250252)
Site-65,POINT(423.89513019682 2603.28391188778)
Site-66,POINT(423.89513019682 2756.10475248915)
Site-67,POINT(-667.706869538843 2273.05465552856)
Site-68,POINT(767.46341609356 1360.27511516004)
Site-69,POINT(-592.376885405685 2830.39862628297)
Site-70,POINT(1177.79970070872 460.715527377823)
Site-71,POINT(876.771799145989 1157.61287317486)
Site-72,POINT(441.753554221714 2092.66049856763)
Site-73,POINT(-1436.03704566136 1949.15088360888)
Site-74,POINT(-824.997460635755 2190.94590138109)
Site-75,POINT(-1250.81218980063 1870.51153449824)
Site-76,POINT(-1379.42349914348 1381.1062329709)
Site-77,POINT(-1625.1557110624 1280.88986331539)
Site-78,POINT(269.058668814761 2467.9092921588)
Site-79,POINT(-1587.35227003146 2059.37211559572)
Site-80,POINT(-830.194141473425 2906.66841044966)
Site-81,POINT(-279.844158882301 1469.70249964471)
Site-82,POINT(-1469.0943352664 1181.41201711478)
Site-83,POINT(-1352.76530063607 1681.0395305334)
Site-84,POINT(29.9306649509953 2480.66339480477)
Site-85,POINT(-1814.69150636355 1838.64040887862)
Site-86,POINT(-752.983467185101 1234.58085211526)
Site-87,POINT(-1529.29679893669 1512.59176048547)
Site-88,POINT(-1811.59912908342 748.599666479273)
Site-89,POINT(152.213929010067 793.797528574365)
Site-90,POINT(152.213929010067 844.160314716854)
Site-91,POINT(-265.307863035741 1307.44343816306)
Site-92,POINT(1040.37335395608 2586.85301118443)
Site-93,POINT(349.872152741985 959.071153894837)
Site-94,POINT(1051.37180899707 2496.24615610027)
Site-95,POINT(108.83621173892 2656.86503268025)
Site-96,POINT(226.283683328385 1031.80953184867)
Site-97,POINT(-1942.02246020143 2026.5902416698)
Site-98,POINT(536.438627931172 1029.79740483144)
Site-99,POINT(738.005541091488 1162.51020112788)
Site-100,POINT(-681.724886739398 2844.61926508811)
Site-101,POINT(-430.471182077475 1617.93724626583)
Site-102,POINT(-1625.44606599826 1365.44498557828)
Site-103,POINT(-570.375931551665 2838.21713224258)
Site-104,POINT(-1586.06608771048 2172.00544361808)
Site-105,POINT(-1352.76530063607 1766.87241343995)
Site-106,POINT(-1631.0205495628 867.276436920349)
Site-107,POINT(999.833713979622 1157.61287317486)
Site-108,POINT(1167.2868039223 530.306165722972)
Site-109,POINT(-1416.76598153965 1390.47730757557)
Site-110,POINT(1018.82135836603 649.620090503078)
Site-111,POINT(-895.811216050246 1474.68613405389)
Site-112,POINT(-1609.45075487564 842.011980935007)
Site-113,POINT(-1233.52954522561 1884.70067337759)
Site-114,POINT(-918.939649736516 3110.19551480454)
Site-115,POINT(-1719.73877897041 1966.69839448155)
Site-116,POINT(-826.385870089648 1399.21800206618)
Site-117,POINT(-1825.60523554551 1697.56767034874)
Site-118,POINT(773.416294195502 504.028046129467)
Site-119,POINT(-1478.28287602401 1782.16302400747)
Site-120,POINT(-1609.45075487564 892.540892905691)
Site-121,POINT(-731.645652475825 1794.37887269053)
Site-122,POINT(422.990816301328 1877.01157625246)
Site-123,POINT(907.537277854398 1171.14710041843)
Site-124,POINT(-592.376885405685 2830.39862628297)
Site-125,POINT(108.83621173892 2656.86503268025)
Site-126,POINT(-1162.89359268745 1598.06208817783)
Site-127,POINT(-269.360685249253 1496.11436384784)
Site-128,POINT(-1520.23718891639 1757.64353795624)
Site-129,POINT(-935.698154866011 1302.60555775843)
Site-130,POINT(-1815.52724115909 1648.45451805559)
Site-131,POINT(-1531.30353980088 2072.27283587912)
Site-132,POINT(-276.356854462188 1358.91273509914)
Site-133,POINT(-1767.03174153213 1647.19380200971)
Site-134,POINT(941.679978738197 2324.65232854553)
Site-135,POINT(-779.320246800223 2342.4976941942)
Site-136,POINT(230.729644623028 2024.40875103383)
Site-137,POINT(749.930417304538 1344.54442689145)
Site-138,POINT(673.785080325805 1127.19720525039)
Site-139,POINT(-836.623898362204 2973.84011876089)
Site-140,POINT(725.271558009479 403.155322163963)
Site-141,POINT(-828.757967271405 2996.50302536173)
Site-142,POINT(-430.946771124442 1500.34133050887)
Site-143,POINT(-1268.09483437566 1856.32239561889)
Site-144,POINT(-1520.88034888744 987.196746449015)
Site-145,POINT(-940.817886241628 3101.63355629369)
Site-146,POINT(-1408.91995133826 1586.35468751391)
Site-147,POINT(317.240249183709 724.444314297853)
Site-148,POINT(-1813.19455704993 1956.55998620513)
Site-149,POINT(-1320.06721847986 1766.87241343995)
Site-150,POINT(-1747.38019887826 841.964450053276)
Site-151,POINT(73.0235073574426 2582.19043285424)
Site-152,POINT(-847.55451661888 2838.09783154432)
Site-153,POINT(-1485.09225012002 1512.59176048547)
Site-154,POINT(411.330586711068 1131.26112595821)
Site-155,POINT(-809.639953866823 1563.34045579625)
Site-156,POINT(-918.939649736516 3110.19551480454)
Site-157,POINT(857.265613632695 1032.90393864285)
Site-158,POINT(-254.258871609294 1255.97414122698)
Site-159,POINT(-1230.13333835161 699.80257722853)
Site-160,POINT(403.401228311222 797.673396139595)
Site-161,POINT(1167.2868039223 391.124889032673)
Site-162,POINT(-822.423785726536 2924.15277669448)
Site-163,POINT(-682.439529161344 1808.93419774741)
Site-164,POINT(-1167.64805052508 2050.00006071151)
Site-165,POINT(11.075303677157 2488.57235422094)
Site-166,POINT(-290.327632515348 1496.11436384784)
Site-167,POINT(645.348272353903 2022.62948130702)
Site-168,POINT(1072.72258260634 463.867984892812)
Site-169,POINT(73.7875798725447 272.556544147649)
Site-170,POINT(952.098655612173 1254.87543337835)
Site-171,POINT(14.629057963423 1138.33024892676)
Site-172,POINT(47.3709839263733 1267.60402795344)
Site-173,POINT(-1515.71273983981 1839.02956410179)
Site-174,POINT(912.673176479856 1338.65631131145)
Site-175,POINT(-1620.63334813921 2059.37211559572)
Site-176,POINT(474.73058960536 2031.73513162443)
Site-177,POINT(1188.31259749514 391.124889032673)
Site-178,POINT(60.5935408264006 79.6240797539363)
Site-179,POINT(709.133474453571 468.966643614003)
Site-180,POINT(-888.002414654507 1727.0126885127)
Site-181,POINT(767.46341609356 1328.81373862286)
Site-182,POINT(-1529.29679893669 1329.08438801771)
Site-183,POINT(-589.353719757748 1459.74214177018)
Site-184,POINT(-1474.04111291586 1558.46860360241)
Site-185,POINT(-754.120129722736 1563.34045579625)
Site-186,POINT(439.898913782169 2794.30996263949)
Site-187,POINT(-1320.06721847986 1788.33063416659)
Site-188,POINT(955.616261135789 631.921273005095)
Site-189,POINT(-1546.26517407039 905.507111603306)
Site-190,POINT(951.980805040764 2391.62512929946)
Site-191,POINT(-1085.05830987016 2054.5630698756)
Site-192,POINT(-574.195202853156 1603.83470857425)
Site-193,POINT(-1832.85776400731 1964.53839373605)
Site-194,POINT(321.693028615868 2024.40875103383)
Site-195,POINT(899.416612680768 2278.45111452302)
Site-196,POINT(-835.531466272039 3095.66925247531)
Site-197,POINT(353.222270687782 2503.95065744045)
Site-198,POINT(-1142.36381887747 1606.88431343981)
Site-199,POINT(81.6774003339225 295.221281579207)
Site-200,POINT(-895.811216050246 1540.62146806828)
Site-201,POINT(-1213.71889040028 761.33596329246)
Site-202,POINT(-1499.2600324702 1769.90328098186)
Site-203,POINT(115.413353562652 793.797528574365)
Site-204,POINT(-5.36820097928911 473.582161689789)
Site-205,POINT(-892.202538047516 1343.75625024946)
Site-206,POINT(475.628640315451 1923.97533407793)
Site-207,POINT(-1546.26517407039 861.602140770138)
Site-208,POINT(969.068235271214 1171.14710041843)
Site-209,POINT(-1522.74236564169 1943.89184024395)
